               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.017441,           0.0065698,            0.011764,             0.97054,                   1,               0.995,              0.8102,            0.010833,           0.0031501,           0.0028416,            0.002971,            0.002971,            0.002971
                 144,            0.019206,           0.0067453,            0.010883,             0.96765,                   1,               0.995,             0.81377,             0.01067,            0.003198,           0.0027878,           0.0029215,           0.0029215,           0.0029215
                 145,            0.019179,           0.0070175,            0.010632,             0.96672,                   1,               0.995,             0.78187,            0.010899,           0.0032698,           0.0027288,            0.002872,            0.002872,            0.002872
                 146,            0.018976,           0.0070157,             0.01021,             0.96686,                   1,               0.995,             0.80451,            0.011079,           0.0033756,           0.0025771,           0.0028225,           0.0028225,           0.0028225
                 147,            0.017848,           0.0068563,           0.0099031,             0.96811,                   1,               0.995,             0.79894,            0.011266,           0.0034842,           0.0025596,            0.002773,            0.002773,            0.002773
                 148,            0.018238,            0.007062,           0.0088882,             0.96953,                   1,               0.995,             0.76564,            0.011489,           0.0034998,           0.0025993,           0.0027235,           0.0027235,           0.0027235
                 149,            0.019092,           0.0070313,           0.0090865,             0.96775,             0.99671,               0.995,             0.78085,            0.011627,            0.003618,           0.0030293,            0.002674,            0.002674,            0.002674
                 150,            0.017126,           0.0070603,           0.0093124,             0.96819,             0.99732,               0.995,             0.82655,            0.010823,           0.0032579,           0.0029409,           0.0026245,           0.0026245,           0.0026245
                 151,            0.017635,            0.006652,           0.0082174,             0.97451,                   1,               0.995,             0.82476,            0.010304,           0.0031788,           0.0024657,            0.002575,            0.002575,            0.002575
                 152,            0.017182,           0.0076951,           0.0079433,             0.97673,                   1,               0.995,             0.81372,            0.010668,           0.0030729,           0.0023013,           0.0025255,           0.0025255,           0.0025255
